ID,M,N,K,TCC_HIT_RATE,time_ns,TCC_EA0_RDREQ,EA0_RDREQ_LEVEL
0,2048,2048,4096,0.451531975876668,154469.0,1203819.0,657798656.5
1,2048,4096,4096,0.4782766046184679,179385.0,2275620.0,1146803209.0
2,2048,4608,4096,0.47820737365387267,198213.0,2560868.5,1167981207.0
3,2048,4864,4096,0.47958021689046704,203822.0,2695034.0,1217188988.0
4,2048,5376,4096,0.4819058392722175,210111.0,2963540.0,1328068929.0
5,2048,7680,4096,0.47791373832917144,237672.0,4269416.0,1643061566.0
6,2048,7936,4096,0.47724841910775273,241617.5,4417973.0,1674751887.5
7,2048,8192,4096,0.4783713961298557,244121.0,4548464.0,1708347693.0
8,2048,8448,4096,0.47876384889732715,247927.0,4687401.5,1740013610.5
9,2048,8704,4096,0.4790724592010565,251853.0,4826036.0,1755889783.0
10,2048,14080,4096,0.477691916287428,465368.0,7823402.5,2879847169.0
11,2048,14336,4096,0.4768319222981518,467130.5,7979418.5,2951780668.5
12,2048,16128,4096,0.4759457123664936,478228.0,8993112.0,3397463355.0
13,2048,16384,4096,0.4762054190300685,478027.0,9113647.0,3429605714.0
14,2048,16640,4096,0.4753168706354316,480751.0,9293881.0,3562572555.0
15,2048,32512,4096,0.4776249756507984,1018947.0,18053181.0,7237942562.0
16,2048,32768,4096,0.4786702897918951,1129350.5,18099893.5,6467861097.5
17,2048,33024,4096,0.4775029499796818,1021671.0,18341817.5,7558728999.0
18,2048,65536,4096,0.4761551155073098,1853781.0,36355932.0,17369504852.0
19,2048,65792,4096,0.47511400456515107,1898708.0,36576948.0,17209547221.0
20,2048,66048,4096,0.47968216785881024,1939870.0,36490017.0,17444394491.0
21,2048,128256,4096,0.4760694120714076,3818229.0,71394737.0,32834444279.5
22,2048,130816,4096,0.4797743353217733,4017464.0,72252882.0,33956485805.0
23,2048,131072,4096,0.47776730055934097,4007930.0,72433482.0,31874950441.0
24,4096,2048,4096,0.6579459341098233,173136.0,1399549.0,670376258.0
25,4096,4096,4096,0.5802696716178483,239635.0,3554223.0,1302293397.0
