ID,M,N,K,TCC_HIT_RATE,time_ns,TCC_EA0_RDREQ,EA0_RDREQ_LEVEL
0,2048,2048,4096,0.4454100002707166,141008.0,1180416.0,638173388.0
1,2048,4096,4096,0.6671456619613418,164603.0,1311488.0,604452832.5
2,2048,4608,4096,0.5203253593305004,186956.0,2255893.5,944216910.0
3,2048,4864,4096,0.3033575999885972,197252.0,3598949.0,1526753208.0
4,2048,5376,4096,0.3290216710000929,204182.0,3818374.0,1615841705.0
5,2048,7680,4096,0.5936292460257272,225053.0,3109672.0,1124660417.0
6,2048,7936,4096,0.37753355648988896,235668.0,5191800.0,1976970744.0
7,2048,8192,4096,0.7764487941915345,227296.0,1588998.0,562774338.0
8,2048,8448,4096,0.3086643947994139,244081.0,6197997.0,2246767679.5
9,2048,8704,4096,0.576066880325539,236990.0,3700531.0,1290675561.0
10,2048,14080,4096,0.3775283452578051,458598.0,9205391.0,3270797961.5
11,2048,14336,4096,0.7620161408969832,430717.0,3016848.0,1067562639.0
12,2048,16128,4096,0.40779583406472,464486.0,9980112.0,3626529556.0
13,2048,16384,4096,0.7556253324558194,439330.0,3567979.0,1284678111.0
14,2048,16640,4096,0.40220864191353084,466609.0,10403800.0,3810057830.0
15,2048,32512,4096,0.448290640650194,1010453.5,18591652.0,8110681148.5
16,2048,32768,4096,0.6225619699727487,995471.0,12156541.0,8061993234.0
17,2048,33024,4096,0.4372409286127479,1001561.0,19304777.0,11212492894.5
18,2048,65536,4096,0.4841887799943723,2033446.0,34755192.0,25408423253.0
19,2048,65792,4096,0.4583224769226743,2081677.0,36851913.0,26604296008.0
20,2048,66048,4096,0.4588443536057401,2074307.0,36955878.0,25875044820.0
21,2048,128256,4096,0.4615642769954973,4610257.5,71349279.0,100225972624.5
22,2048,130816,4096,0.4637269529843375,4323252.0,72450329.0,68876309979.5
23,2048,131072,4096,0.4664836248525134,4419995.0,72175031.0,67878443655.0
24,4096,2048,4096,0.4730068821004455,170933.0,2228992.0,1023374665.0
25,4096,4096,4096,0.5885524057164332,231903.0,3364880.0,1197756641.0
26,4096,4608,4096,0.39011701444067226,251652.0,5894945.0,2047571557.0
27,4096,4864,4096,0.25352467863171824,263790.0,7754747.0,2719636539.0
28,4096,5376,4096,0.23102617519713484,455633.0,8848809.0,3077059210.0
